X,Y,nombre,perimetro,sintetico,arcos,redes,ilumi,puerta,carteleria,obs,id,icon_url
-68.3593413748608,-54.8311335123053,Barrio Pipo,malo,malo,malo,malo,bueno,malo,malo,reacondicionamiento completo,"12",./0.png
-68.3406935577866,-54.8201975785884,Olmos,malo,bueno,bueno,malo,malo,malo,malo,"Tejido y puerta rotos. Sin redes, cartelería e iluminación.","13",./0.png
-68.3443399841101,-54.817642647159,Felipe Varela,bueno,bueno,bueno,bueno,bueno,bueno,malo,,"14",./1.png
-68.3296275811945,-54.8191797257327,Fuegia Basket,bueno,malo,bueno,malo,malo,bueno,malo,Suelo en mal estado. Sin redes en arcos y aros. Sin carteleria ni iluminación.,"15",./1.png
-68.3276594008276,-54.8035627430333,Obrador,malo,bueno,malo,malo,malo,malo,malo,Sin redes ni carteleria.,"16",./0.png
-68.3332145838085,-54.8093263777977,Magallanes,malo,bueno,malo,malo,malo,bueno,malo,Sin redes y carteleria. Verificar iluminacion,"17",./0.png
-68.3387658667293,-54.8107463695184,Magallanes II,malo,bueno,bueno,bueno,malo,bueno,malo,Detalles en perimetro,"18",./0.png
-68.3255165833175,-54.8194408994473,Playón CADIC,malo,bueno,bueno,malo,bueno,malo,malo,"Sin carteleria, redes, puerta de ingreso. Tejido perimetral dañado","1",./0.png
-68.3292199224686,-54.8233193315001,San Salvador,malo,bueno,bueno,malo,malo,malo,bueno,Tejido y puerta de ingreso rotos en algunas partes. Sin redes en arcos y aros. Sin iluminacion.,"2",./0.png
-68.3309416523331,-54.8241504828969,San Salvador II,bueno,bueno,malo,malo,bueno,bueno,malo,"Tejido y puerta con detalles. Arcos rotos. Faltan redes, en arcos y aros, y cartelería.","3",./1.png
-68.3346246900863,-54.8272785614153,Monte Gallinero,malo,bueno,bueno,malo,bueno,malo,malo,Tejido y puerta roto. Faltan redes en arcos. No tiene cartelería.,"4",./0.png
-68.3352723780867,-54.8280660679111,Monte Gallinero II,bueno,malo,bueno,malo,malo,malo,malo,semi playón. un solo arco. tejido perimetral discontinuo. sin cartelería ni iluminación.,"5",./1.png
-68.3398971092348,-54.8308623583659,Barrio Malvinas,malo,malo,bueno,malo,bueno,malo,malo,tejido roto detrás de los arcos. Sintetico levantado por movimiento de suelo. Sin redes. Sin cartelería.,"6",./0.png
-68.2292710746741,-54.7950712950435,640 Viviendas,malo,bueno,bueno,malo,bueno,malo,malo,Tejido y puerta rotos. Sin redes y cartelería.,"7",./0.png
-68.2529210494165,-54.7902037287665,Gustavo Giró,malo,bueno,bueno,malo,bueno,bueno,malo,Tejido con roturas. Sin cartelería y redes.,"8",./0.png
-68.3166101635058,-54.8047216686568,245 Viviendas,bueno,bueno,bueno,malo,bueno,bueno,malo,Sin redes ni carteleria.,"9",./1.png
-68.3489739445753,-54.8186144777149,64 Viviendas,bueno,bueno,bueno,malo,bueno,bueno,malo,Sin redes ni carteleria.,"10",./1.png
-68.3589952004389,-54.8259098715292,Alem,malo,bueno,bueno,malo,bueno,malo,malo,Tejido y puerta rotos. Caños desoldados. Elevación de sintetico en el centro. Sin redes ni carteleria.,"11",./0.png
